mol_id,smiles
85,OC(C=C1)=CC=C1[C@H]2OC3=C(C=CC(O)=C3)[C@@]4([H])[C@]2([H])C(C=C(O)C=C5O)=C5[C@@H]4C6=CC(O)=CC(O)=C6
86,OC1=CC=C(/C=C/C2=CC(O)=C([C@@H](C3=CC(O)=CC(O)=C3)[C@@H](C4=CC=C(O)C=C4O)O5)C5=C2)C=C1
87,COC(=O)CC1=COC=CC1=O
88,OC1=CC=C(/C=C/C2=CC(O)=C([C@H](C3=CC(O)=CC(O)=C3)[C@@H](C4=CC=C(O)C=C4)O5)C5=C2)C=C1
89,OC1=CC(O)=CC([C@@H]([C@H](C2=CC=C(O)C3=C2O[C@@H](C4=CC=C(O)C=C4O)[C@@H]3C5=CC(O)=CC(O)=C5)O6)C7=C6C=C(O)C=C7/C=C/C8=CC=C(O)C=C8)=C1
90,CCC(C1=NC(C(N2)=O)=C(NC2=O)NC1)=O
91,CCC(C1=NC2=C(N=C(NC2=O)N)NC1)=O
92,CCC(C1=NC(C(N2)=O)=C(NC2=O)N=C1)=O
93,OC1=CC=C(/C=C/C2=CC(O)=C([C@H](C3=CC(O)=C([C@H](C4=CC(O)=C([C@H](C5=CC(O)=CC(O)=C5)[C@@H](C6=CC=C(O)C=C6)O7)C7=C4)[C@@H](C8=CC=C(O)C=C8)O9)C9=C3)[C@@H](C%10=CC=C(O)C=C%10)O%11)C%11=C2)C=C1
94,OC1=CC=C(/C=C/C2=CC(O)=C([C@H](C3=CC(O)=C([C@H](C4=CC(O)=C([C@H](C5=CC(O)=CC(O)=C5)[C@@H](C6=CC=C(O)C=C6O)O7)C7=C4)[C@@H](C8=CC=C(O)C=C8)O9)C9=C3)[C@@H](C%10=CC=C(O)C=C%10)O%11)C%11=C2)C=C1
95,CCC(C1=NC2=C(N=C(NC2=O)N)N=C1)=O
96,OC1=CC=C(/C=C/C2=CC(O)=C([C@@H](C3=CC(O)=C([C@H](C4=CC(O)=CC(O)=C4)[C@H](C5=CC=C(O)C=C5O)O6)C6=C3)[C@H](C7=CC=C(O)C=C7)O8)C8=C2)C=C1
97,C/C(C)=C/CN[C@@H](CCC(O)=O)C(O)=O
98,O=C1C[C@@H]2[C@@H](C(O)=O)NC[C@@H]2C(C)(C)O1
99,C[C@H]1C[C@@H](O)C(=O)[C@H]2O[C@]3(CC[C@@H]1O3)C[C@H](O)C1=NCC[C@]31CCC(=C[C@H]23)C=C
100,CC1CC23CCC(=CC2C4C5C(C(CC(O4)(O5)CC6CCCC7(O6)CCC8(O7)C(CCC(O8)CC(=C)CCCC3=NCC1C)(C)O)C)O)C=C
101,O[C@](CO)(CC1=NC(CO)C)CC(NCC(O)=O)=C1OC
102,COC1=C(N)C[C@](CO)(O)CC1=NCC(O)=O
103,O=C(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(OCC)=O)=O)=O)CCCCCCCCCCCC(C)CC
104,CCC(C)CCCCCCCCCCC(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(O)=O)=O)=O)=O
105,CCC(C)CCCCCCCCCC(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(OCC)=O)=O)=O)=O
106,CCC(C)CCCCCCCCCCC(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(N)=O)C(OCC)=O)=O)=O)=O
107,CC1CC2CCC(C(=CC3C(=C(CCC34CCCN=C4CCC=C(C1O2)C)C5C=C(C(=O)O5)C)C)C)O
108,C=CCC1OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C(C)CC)NC(=O)C2C(C)CCN2C1=O
109,O=C(N1[C@H](C(N[C@H]2C)=O)C[C@H](O)C1)[C@@H](NC([C@@H]([C@@H](O)C)NC([C@@H](NC3=O)C)=O)=O)CSC4=C(C[C@@H](C(N[C@H]3C[C@](CO)(O)C)=O)NC2=O)C5=C(C=CC=C5)N4
110,OC1=C(C(C)=O)C(CCCCC2=CC=CC=C2)=CC(O)=C1
111,OC1=C(C(C)=O)C(CCCCC(C=C2)=CC3=C2OCO3)=CC(O)=C1
112,OC1=C(C(C)=O)C(CCCCCCCCC)=CC(O)=C1
113,OC1=C(C(O)=O)C(CCCCCCC2=CC=CC=C2)=CC=C1
114,OC1=C(C(O)=O)C(CCCCCCC2=CC(OCO3)=C3C=C2)=CC=C1
115,OC1=C(C(C)=O)C(CCCCCCC2=CC=CC=C2)=CC(O)=C1
116,OC1=C(C(O)=O)C(CCCCCCCCC2=CC=CC=C2)=CC=C1
117,OC1=C(C(O)=O)C(CCCCCCCCC)=CC=C1
118,OC1=C(C(O)=O)C(CCCCCCCCC2=CC(OCO3)=C3C=C2)=CC=C1
119,OC1=C(C(O)=O)C(CCCCCCCCCCC)=CC=C1
120,OC1=C(C(O)=O)C(CCCCCCCCCCCCC)=CC=C1
121,OC1=C(C(O)=O)C(CCCCC2=CC(OCO3)=C3C=C2)=CC=C1
122,O[C@H]([C@@](NC1=O)([H])C(N2[C@H](C(N[C@@H](C(N[C@H](C(N[C@@]([C@H]3O)([H])C(N[C@H](CC(N)=O)C(O[C@H](C)[C@H](NC(/C=C/C4=C([C@H](O)[C@@H](C)O)C=CC=C4)=O)C(N[C@](C5=CC=C(OC6=C(O)C=CC3=C6)C=C5)([H])C(N[C@@H](C(C)C)C(NC1)=O)=O)=O)=O)=O)=O)O)=O)CC(C)C)=O)CCC2)=O)C7=CC=CC=C7
